Cabeceras Generacion, Fecha: 11-11-15-25-11-305Generacion: 0, Poblacion: 100, Evaluacion:{ Mejor:    35, Max: -210.000, Min: -240.000, Suma: -23140.000}
Generacion: 82, Poblacion: 100, Evaluacion:{ Mejor:    55, Max: -200.000, Min: -240.000, Suma: -22870.000}
Generacion: 83, Poblacion: 100, Evaluacion:{ Mejor:     1, Max: -210.000, Min: -240.000, Suma: -22950.000}
Generacion: 84, Poblacion: 100, Evaluacion:{ Mejor:    32, Max: -200.000, Min: -240.000, Suma: -23030.000}
Generacion: 85, Poblacion: 100, Evaluacion:{ Mejor:    53, Max: -210.000, Min: -240.000, Suma: -23140.000}
Generacion: 86, Poblacion: 100, Evaluacion:{ Mejor:    30, Max: -200.000, Min: -240.000, Suma: -23110.000}
Generacion: 87, Poblacion: 100, Evaluacion:{ Mejor:    62, Max: -190.000, Min: -240.000, Suma: -23050.000}
Generacion: 88, Poblacion: 100, Evaluacion:{ Mejor:    93, Max: -190.000, Min: -240.000, Suma: -22930.000}
Generacion: 89, Poblacion: 100, Evaluacion:{ Mejor:    91, Max: -190.000, Min: -240.000, Suma: -23130.000}
Generacion: 90, Poblacion: 100, Evaluacion:{ Mejor:    85, Max: -200.000, Min: -240.000, Suma: -23220.000}
Generacion: 91, Poblacion: 100, Evaluacion:{ Mejor:    36, Max: -210.000, Min: -240.000, Suma: -23240.000}
Generacion: 92, Poblacion: 100, Evaluacion:{ Mejor:    45, Max: -210.000, Min: -240.000, Suma: -23400.000}
Generacion: 93, Poblacion: 100, Evaluacion:{ Mejor:    25, Max: -210.000, Min: -240.000, Suma: -23420.000}
Generacion: 94, Poblacion: 100, Evaluacion:{ Mejor:     3, Max: -210.000, Min: -240.000, Suma: -23440.000}
Generacion: 95, Poblacion: 100, Evaluacion:{ Mejor:    40, Max: -210.000, Min: -240.000, Suma: -23410.000}
Generacion: 96, Poblacion: 100, Evaluacion:{ Mejor:    42, Max: -210.000, Min: -240.000, Suma: -23310.000}
Generacion: 97, Poblacion: 100, Evaluacion:{ Mejor:     7, Max: -210.000, Min: -240.000, Suma: -23240.000}
Generacion: 98, Poblacion: 100, Evaluacion:{ Mejor:    12, Max: -210.000, Min: -240.000, Suma: -23220.000}
Generacion: 99, Poblacion: 100, Evaluacion:{ Mejor:    46, Max: -210.000, Min: -240.000, Suma: -23220.000}
